"CO.Fabrica","CO.Cliente","rota_fabrica_cliente","custo_max_rota_24","Demanda","Producao","Qtd.Transp_Otim_24_Pessimista","Vlr.Frete_Otim_24_Pessimista"
"3403208","2301","3403208 - 2301",0.696535,5973721,90000000,5973721.0,4160905.7567350003
"3403208","2302","3403208 - 2302",0.6617169999999999,1778080,90000000,1778080.0,1176585.7633599997
"3403208","2303","3403208 - 2303",0.6260508333333333,5958798,90000000,5958798.0,3730510.453565
"3403208","2304","3403208 - 2304",0.6038608333333333,896173,90000000,896173.0,541163.7745908333
"3403208","2305","3403208 - 2305",0.628628,3241494,90000000,3241494.0,2037693.8902319998
"3403208","2306","3403208 - 2306",0.696535,3244827,90000000,3244827.0,2260135.574445
"3403208","2307","3403208 - 2307",0.6617169999999999,12738726,90000000,12738726,8429431.552542
"3403208","2308","3403208 - 2308",0.696535,6792503,90000000,6555581.0,4566191.611835
"3403208","2309","3403208 - 2309",0.5279050000000001,7471374,90000000,7471374.0,3944175.6914700004
"3403208","2310","3403208 - 2310",0.8464050000000001,2098730,90000000,0.0,0.0
"3403208","2311","3403208 - 2311",0.46582666666666656,7295028,90000000,7295028.0,3398218.5764799993
"3403208","2312","3403208 - 2312",0.975058,1350774,90000000,1350774.0,1317082.994892
"3403208","2313","3403208 - 2313",1.0694320000000002,1439856,90000000,1439856.0,1539828.0817920002
"3403208","2314","3403208 - 2314",1.0694320000000002,3977784,90000000,3977784.0,4253969.498688
"3403208","2315","3403208 - 2315",1.0694320000000002,3666906,90000000,3666906.0,3921506.6173920007
"3403208","2316","3403208 - 2316",1.0694320000000002,271034,90000000,271034.0,289852.43268800003
"3403208","2317","3403208 - 2317",1.0694320000000002,1272373,90000000,1272373.0,1360716.402136
"3403208","2318","3403208 - 2318",1.0694320000000002,569236,90000000,569236.0,608759.1939520001
"3403208","2319","3403208 - 2319",0.8464050000000001,1589336,90000000,0.0,0.0
"3403208","2320","3403208 - 2320",0.8464050000000001,5063433,90000000,0.0,0.0
"3403208","2321","3403208 - 2321",0.8464050000000001,10686204,90000000,0.0,0.0
"3403208","2322","3403208 - 2322",0.8464050000000001,2495205,90000000,0.0,0.0
"3403208","2323","3403208 - 2323",0.8464050000000001,1753764,90000000,0.0,0.0
"3403208","2324","3403208 - 2324",0.8794660000000002,20427048,90000000,0.0,0.0
"3403208","2325","3403208 - 2325",0.8464050000000001,7828763,90000000,0.0,0.0
"3403208","2326","3403208 - 2326",0.8794660000000001,5788209,90000000,0.0,0.0
"3403208","2327","3403208 - 2327",0.9257500000000001,11836544,90000000,0.0,0.0
"3403208","2328","3403208 - 2328",0.8464050000000002,6145143,90000000,0.0,0.0
"3403208","2329","3403208 - 2329",0.8464050000000001,13860432,90000000,0.0,0.0
"3403208","2330","3403208 - 2330",0.8464050000000001,3482379,90000000,0.0,0.0
"3403208","2331","3403208 - 2331",0.8464050000000001,4084642,90000000,0.0,0.0
"3403208","2332","3403208 - 2332",0.8464050000000001,10839219,90000000,0.0,0.0
"3403208","2333","3403208 - 2333",0.8464050000000002,1336988,90000000,0.0,0.0
"3403208","2334","3403208 - 2334",0.8464050000000001,1898750,90000000,0.0,0.0
"3403208","2335","3403208 - 2335",0.8464050000000002,14197671,90000000,0.0,0.0
"3403208","2336","3403208 - 2336",,1716192,90000000,0.0,0.0
"3403208","2337","3403208 - 2337",,827342,90000000,0.0,0.0
"3403208","2338","3403208 - 2338",,2539443,90000000,0.0,0.0
"3403208","2339","3403208 - 2339",1.0521408333333335,1789064,90000000,1789064.0,1882347.287846667
