"CO.Fabrica","CO.Cliente","rota_fabrica_cliente","custo_unit_rota_23","Demanda","Producao","Qtd.Transp_Otim_23","Vlr.Frete_Otim_23"
"3403208","2301","3403208 - 2301",0.5658853174603174,5973721,90000000,5973721.0,3380441.004504365
"3403208","2302","3403208 - 2302",0.5145467777777777,1778080,90000000,1778080.0,914905.3346311109
"3403208","2303","3403208 - 2303",0.43621944444444444,5958798,90000000,5958798.0,2599343.5531166666
"3403208","2304","3403208 - 2304",0.4737426630103596,896173,90000000,896173.0,424555.383537983
"3403208","2305","3403208 - 2305",0.509511578050443,3241494,90000000,3241494.0,1651578.7231810426
"3403208","2306","3403208 - 2306",0.5585704146981627,3244827,90000000,3244827.0,1812464.363013795
"3403208","2307","3403208 - 2307",0.5294952222222221,12738726,90000000,12738726,6745094.554197999
"3403208","2308","3403208 - 2308",0.555879505799294,6792503,90000000,6792503.0,3775813.210780222
"3403208","2309","3403208 - 2309",0.4348274568746829,7471374,90000000,7471374.0,3248758.555779627
"3403208","2310","3403208 - 2310",0.7187025514403292,2098730,90000000,0.0,0.0
"3403208","2311","3403208 - 2311",0.375888736229147,7295028,90000000,7295028.0,2742118.8556762417
"3403208","2312","3403208 - 2312",0.7949455371339926,1350774,90000000,1350774.0,1073791.7629766318
"3403208","2313","3403208 - 2313",0.7701987499999999,1439856,90000000,1439856.0,1108975.2913799998
"3403208","2314","3403208 - 2314",0.7175171428571429,3977784,90000000,3977784.0,2854128.210582857
"3403208","2315","3403208 - 2315",0.8411732351994852,3666906,90000000,3666906.0,3084503.1831924035
"3403208","2316","3403208 - 2316",0.8483264042867702,271034,90000000,271034.0,229925.29865946047
"3403208","2317","3403208 - 2317",0.8428137037037037,1272373,90000000,1272373.0,1072373.4006225925
"3403208","2318","3403208 - 2318",0.8427146773923245,569236,90000000,569236.0,479703.5321000972
"3403208","2319","3403208 - 2319",0.6982161452991453,1589336,90000000,0.0,0.0
"3403208","2320","3403208 - 2320",0.735111111111111,5063433,90000000,0.0,0.0
"3403208","2321","3403208 - 2321",0.7723148148148149,10686204,90000000,0.0,0.0
"3403208","2322","3403208 - 2322",0.6969108410351201,2495205,90000000,0.0,0.0
"3403208","2323","3403208 - 2323",0.7499444444444444,1753764,90000000,0.0,0.0
"3403208","2324","3403208 - 2324",0.7175578916211294,20427048,90000000,0.0,0.0
"3403208","2325","3403208 - 2325",0.63824,7828763,90000000,0.0,0.0
"3403208","2326","3403208 - 2326",0.7048193186003684,5788209,90000000,0.0,0.0
"3403208","2327","3403208 - 2327",0.7276457055898491,11836544,90000000,0.0,0.0
"3403208","2328","3403208 - 2328",0.7282145728114479,6145143,90000000,0.0,0.0
"3403208","2329","3403208 - 2329",0.7630083333333333,13860432,90000000,0.0,0.0
"3403208","2330","3403208 - 2330",0.7639377272727272,3482379,90000000,0.0,0.0
"3403208","2331","3403208 - 2331",0.7020132844733985,4084642,90000000,0.0,0.0
"3403208","2332","3403208 - 2332",0.6880975252525252,10839219,90000000,0.0,0.0
"3403208","2333","3403208 - 2333",0.6753076388888889,1336988,90000000,0.0,0.0
"3403208","2334","3403208 - 2334",0.6901472161172161,1898750,90000000,0.0,0.0
"3403208","2335","3403208 - 2335",0.6970158011145943,14197671,90000000,0.0,0.0
"3403208","2336","3403208 - 2336",,1716192,90000000,0.0,0.0
"3403208","2337","3403208 - 2337",,827342,90000000,0.0,0.0
"3403208","2338","3403208 - 2338",,2539443,90000000,0.0,0.0
"3403208","2339","3403208 - 2339",0.8801255555555556,1789064,90000000,1552142.0,1366079.8400511113
"3403208","2340","3403208 - 2340",0.978755904049654,973767,90000000,0.0,0.0
"3403208","2341","3403208 - 2341",0.9231136369268896,5304924,90000000,0.0,0.0
"3403208","2342","3403208 - 2342",0.9143498419472104,838856,90000000,0.0,0.0
"3403208","2343","3403208 - 2343",0.9918260348135965,8150094,90000000,0.0,0.0
"3403208","2344","3403208 - 2344",0.6385439881299864,678417,90000000,678417.0,433199.0967951809
"3403208","2345","3403208 - 2345",0.6422160420841683,3600095,90000000,3600095.0,2312038.762027004
"3403208","2346","3403208 - 2346",0.6455140625,3522678,90000000,3522678.0,2273938.1866593747
"3403208","2347","3403208 - 2347",0.2829583545647558,3675315,90000000,3675315.0,1039961.0849071655
"3403208","2348","3403208 - 2348",0.2866935047619048,1310374,90000000,1310374.0,375675.71460887627
"3403208","2349","3403208 - 2349",0.3022308888888889,1761137,90000000,1761137.0,532270.0009651111
"3403208","2350","3403208 - 2350",0.35829032301845815,4402893,90000000,4402893.0,1577513.9551857081
"3403208","2351","3403208 - 2351",0.41775722222222217,1331761,90000000,1331761.0,556352.7760238888
"3424402","2301","3424402 - 2301",0.4271351986151603,5973721,90000000,0.0,0.0
