Mes.Base,Ano.Exec,Veiculo,CO.Cliente,CO.Fabrica,rota,cod_rota,Qtd.Transp,Vlr.Frete,km_api,custo/km,custo/unid,qtd_max_veiculo,num_viagens,qtd_max_transp,taxa_ocupacao
1,2023,P24,2331,3403208,ARARAQUARA - OSASCO,3403208-2331,74400,13158.62,269.467,2.0346678195598473,0.1826311111111111,3600.0,24.0,86400.0,0.8611111111111112
1,2023,P24,2331,3423909,ITU - OSASCO,3423909-2331,84000,4802.27,88.048,1.9479107175306976,0.06178095238095239,3600.0,28.0,100800.0,0.8333333333333334
1,2023,P24,2331,3424402,JACAREI - OSASCO,3424402-2331,87600,9110.34,100.014,3.036354910312556,0.10637944444444444,3600.0,30.0,108000.0,0.8111111111111111
1,2023,P24,2332,3403208,ARARAQUARA - SAO PAULO,3403208-2332,637200,0.0,264.892,0.0,0.0,3600.0,209.0,752400.0,0.84688995215311
1,2023,P24,2332,3423909,ITU - SAO PAULO,3423909-2332,660000,0.0,94.751,0.0,0.0,3600.0,216.0,777600.0,0.8487654320987654
1,2023,P24,2332,3424402,JACAREI - SAO PAULO,3424402-2332,646800,0.0,91.551,0.0,0.0,3600.0,216.0,777600.0,0.8317901234567902
1,2023,P24,2333,3403208,ARARAQUARA - SAO PAULO,3403208-2333,112800,0.0,285.391,0.0,0.0,3600.0,38.0,136800.0,0.8245614035087719
1,2023,P24,2333,3423909,ITU - SAO PAULO,3423909-2333,139800,0.0,117.496,0.0,0.0,3600.0,48.0,172800.0,0.8090277777777778
1,2023,P24,2333,3424402,JACAREI - SAO PAULO,3424402-2333,132600,0.0,75.63,0.0,0.0,3600.0,44.0,158400.0,0.8371212121212122
1,2023,P24,2335,3403208,ARARAQUARA - SANTANA DE PARNAIBA,3403208-2335,123600,16828.120000000003,258.345,1.5887358037489099,0.13889062330623309,3600.0,41.0,147600.0,0.8373983739837398
