CO.Cliente,CO.Fabrica,rota_fabrica_cliente,Demanda,Producao,Qtd.Transp,custo_unit_rota,km_api,Vlr.Frete_simul
2328,3403208,3403208 - 2328,6145143,90000000,1653481,0.7282145728114479,284.644,1204088.9600668456
2328,3423909,3423909 - 2328,6145143,56000000,2976481,0.313381117444095,108.678,932772.9418311174
2328,3424402,3424402 - 2328,6145143,90000000,1627981,0.3103678440437664,120.63799999999999,505272.9531142148
2329,3403208,3403208 - 2329,13860432,90000000,6123816,0.7630083333333333,291.699,4672522.6398
2329,3423909,3423909 - 2329,13860432,56000000,7759116,0.32755940343745543,115.733,2541571.4081620155
2329,3424402,3424402 - 2329,13860432,90000000,10500,0.2733835416666667,113.122,2870.5271875
2330,3403208,3403208 - 2330,3482379,90000000,22200,0.7639377272727272,303.713,16959.417545454544
2330,3423909,3423909 - 2330,3482379,56000000,3470979,0.4370946433030141,161.745,1517146.3279172527
2330,3424402,3424402 - 2330,3482379,90000000,12300,0.29639063492063494,95.012,3645.6048095238098
2331,3403208,3403208 - 2331,4084642,90000000,1298700,0.7020132844733985,269.467,911704.6525456026
2331,3423909,3423909 - 2331,4084642,56000000,1167300,0.2929580488242685,88.048,341969.93039256864
2331,3424402,3424402 - 2331,4084642,90000000,2682000,0.28348827782183456,100.014,760315.5611181603
2332,3403208,3403208 - 2332,10839219,90000000,23400,0.6880975252525252,264.892,16101.48209090909
2332,3423909,3423909 - 2332,10839219,56000000,12600,0.3462547222222222,94.751,4362.809499999999
2332,3424402,3424402 - 2332,10839219,90000000,10805619,0.27118337962962963,91.551,2930304.2794101387
2333,3403208,3403208 - 2333,1336988,90000000,14100,0.6753076388888889,285.391,9521.837708333333
2333,3423909,3423909 - 2333,1336988,56000000,1500,0.59854,117.496,897.81
2333,3424402,3424402 - 2333,1336988,90000000,9300,0.2795912962962963,75.63,2600.199055555556
2334,3403208,3403208 - 2334,1898750,90000000,1193100,0.6901472161172161,257.469,823414.6435494506
2334,3423909,3423909 - 2334,1898750,56000000,1017300,0.272434752293578,86.429,277147.8735082569
2334,3424402,3424402 - 2334,1898750,90000000,1177500,0.29466215425531916,107.497,346964.6866356383
2335,3403208,3403208 - 2335,14197671,90000000,4812257,0.6970158011145943,258.345,3354219.168024314
2335,3423909,3423909 - 2335,14197671,56000000,4671257,0.2724029859013091,84.402,1272464.3547123915
2335,3424402,3424402 - 2335,14197671,90000000,4794557,0.29813156510416666,108.166,1429408.782391138
2336,3423909,3423909 - 2336,1716192,56000000,902646,0.4835801600985222,168.829,436501.6971922907
2336,3424402,3424402 - 2336,1716192,90000000,867546,0.7220055115801818,283.079,626372.9935493404
