"CO.Fabrica","CO.Cliente","rota_fabrica_cliente","custo_min_rota_23","Demanda","Producao","Qtd.Transp_Otim_23_Otimista","Vlr.Frete_Otim_23_Otimista"
"3403208","2301","3403208 - 2301",0.4564375,5973721,90000000,0.0,0.0
"3403208","2302","3403208 - 2302",0.27132222222222224,1778080,90000000,1778080.0,482432.61688888894
"3403208","2303","3403208 - 2303",0.3125611111111111,5958798,90000000,5958798.0,1862488.5237666667
"3403208","2304","3403208 - 2304",0.27132222222222224,896173,90000000,896173.0,243151.6498555556
"3403208","2305","3403208 - 2305",0.27132222222222224,3241494,90000000,3241494.0,879489.3554000001
"3403208","2306","3403208 - 2306",0.3125611111111111,3244827,90000000,3244827.0,1014206.7324833333
"3403208","2307","3403208 - 2307",0.4107916666666666,12738726,90000000,12738726,5232962.484749999
"3403208","2308","3403208 - 2308",0.3125611111111111,6792503,90000000,6792503.0,2123072.2849055557
"3403208","2309","3403208 - 2309",0.2577583333333333,7471374,90000000,7471374.0,1925808.9099499998
"3403208","2310","3403208 - 2310",0.44101111111111113,2098730,90000000,0.0,0.0
"3403208","2311","3403208 - 2311",0.2332138888888889,7295028,90000000,7295028.0,1701301.8494333334
"3403208","2312","3403208 - 2312",0.5236944444444445,1350774,90000000,1350774.0,707392.8395
"3403208","2313","3403208 - 2313",0.5512583333333333,1439856,90000000,1439856.0,793732.6187999999
"3403208","2314","3403208 - 2314",0.5512583333333333,3977784,90000000,3977784.0,2192786.5782
"3403208","2315","3403208 - 2315",0.5512583333333333,3666906,90000000,3666906.0,2021412.49005
"3403208","2316","3403208 - 2316",0.5512583333333333,271034,90000000,271034.0,149409.75111666665
"3403208","2317","3403208 - 2317",0.5512583333333333,1272373,90000000,1272373.0,701406.2193583333
"3403208","2318","3403208 - 2318",0.5512583333333333,569236,90000000,569236.0,313796.08863333333
"3403208","2319","3403208 - 2319",0.44101111111111113,1589336,90000000,0.0,0.0
"3403208","2320","3403208 - 2320",0.6538666666666667,5063433,90000000,0.0,0.0
"3403208","2321","3403208 - 2321",0.7047444444444444,10686204,90000000,0.0,0.0
"3403208","2322","3403208 - 2322",0.44101111111111113,2495205,90000000,0.0,0.0
"3403208","2323","3403208 - 2323",0.6538666666666667,1753764,90000000,0.0,0.0
"3403208","2324","3403208 - 2324",0.4341111111111111,20427048,90000000,0.0,0.0
"3403208","2325","3403208 - 2325",0.47263333333333335,7828763,90000000,0.0,0.0
"3403208","2326","3403208 - 2326",0.4341111111111111,5788209,90000000,0.0,0.0
"3403208","2327","3403208 - 2327",0.43411111111111106,11836544,90000000,0.0,0.0
"3403208","2328","3403208 - 2328",0.44101111111111113,6145143,90000000,0.0,0.0
"3403208","2329","3403208 - 2329",0.6589666666666667,13860432,90000000,0.0,0.0
"3403208","2330","3403208 - 2330",0.6936533333333333,3482379,90000000,0.0,0.0
"3403208","2331","3403208 - 2331",0.44101111111111113,4084642,90000000,0.0,0.0
"3403208","2332","3403208 - 2332",0.4410111111111111,10839219,90000000,0.0,0.0
"3403208","2333","3403208 - 2333",0.4726333333333333,1336988,90000000,0.0,0.0
"3403208","2334","3403208 - 2334",0.44101111111111113,1898750,90000000,0.0,0.0
"3403208","2335","3403208 - 2335",0.4410111111111112,14197671,90000000,0.0,0.0
"3403208","2336","3403208 - 2336",,1716192,90000000,0.0,0.0
"3403208","2337","3403208 - 2337",,827342,90000000,0.0,0.0
"3403208","2338","3403208 - 2338",,2539443,90000000,0.0,0.0
"3403208","2339","3403208 - 2339",0.5598694444444444,1789064,90000000,0.0,0.0
"3403208","2340","3403208 - 2340",0.5598694444444444,973767,90000000,0.0,0.0
"3403208","2341","3403208 - 2341",0.5598694444444444,5304924,90000000,0.0,0.0
"3403208","2342","3403208 - 2342",0.5598694444444444,838856,90000000,0.0,0.0
"3403208","2343","3403208 - 2343",0.5598694444444444,8150094,90000000,7525863.0,4213500.736775
"3403208","2344","3403208 - 2344",0.4124083333333334,678417,90000000,678417.0,279784.824275
"3403208","2345","3403208 - 2345",0.4124083333333334,3600095,90000000,3600095.0,1484709.1787916669
"3403208","2346","3403208 - 2346",0.3917888888888889,3522678,90000000,3522678.0,1380146.0995333334
"3403208","2347","3403208 - 2347",0.21518333333333337,3675315,90000000,3675315.0,790866.5327500001
"3403208","2348","3403208 - 2348",0.16538333333333333,1310374,90000000,1310374.0,216714.02003333333
"3403208","2349","3403208 - 2349",0.23909166666666665,1761137,90000000,1761137.0,421073.1805583333
"3403208","2350","3403208 - 2350",0.2067277777777778,4402893,90000000,4402893.0,910200.2856833334
"3403208","2351","3403208 - 2351",0.29118333333333335,1331761,90000000,1331761.0,387786.60718333337
"3424402","2301","3424402 - 2301",0.21705555555555553,5973721,90000000,5973721.0,1296629.3303888887
