"CO.Cliente","CO.Fabrica","rota_fabrica_cliente","Demanda","Producao","Qtd.Transp","Vlr.Frete","custo_unit_rota","custo_min_rota","custo_max_rota","km_api"
"2323","3403208","3403208 - 2323",1753764,90000000,9000,6658.16,0.7499444444444444,0.6538666666666667,0.8061,274.717
"2323","3424402","3424402 - 2323",1753764,90000000,9900,2401.65,0.25396375,0.21905999999999998,0.3325266666666667,102.941
"2324","3403208","3403208 - 2324",20427048,90000000,1534800,1030433.68,0.7175578916211294,0.4341111111111111,0.8375866666666668,275.424
"2324","3423909","3423909 - 2324",20427048,56000000,16800,4443.15,0.28711770833333333,0.16538333333333333,0.3371833333333333,100.893
"2324","3424402","3424402 - 2324",20427048,90000000,20100,5548.87,0.29666516666666665,0.16538333333333333,0.3371833333333333,103.648
"2325","3403208","3403208 - 2325",7828763,90000000,13500,7994.57,0.63824,0.47263333333333335,0.8061,285.412
"2325","3423909","3423909 - 2325",7828763,56000000,3000,741.35,0.24711666666666668,0.24711666666666668,0.24711666666666668,105.662
"2325","3424402","3424402 - 2325",7828763,90000000,18600,4894.38,0.2746179166666667,0.23476333333333332,0.3371833333333333,105.667
"2326","3403208","3403208 - 2326",5788209,90000000,2302800,1520798.5,0.7048193186003684,0.4341111111111111,0.8375866666666667,270.955
"2326","3423909","3423909 - 2326",5788209,56000000,1216800,350803.46,0.2998950058833417,0.21686333333333335,0.44891333333333333,91.205
"2326","3424402","3424402 - 2326",5788209,90000000,1461000,389825.95,0.287697645522388,0.16538333333333333,0.3371833333333333,107.82799999999999
"2327","3403208","3403208 - 2327",11836544,90000000,1410000,948453.7,0.7276457055898491,0.43411111111111106,0.8816666666666667,277.216
"2327","3423909","3423909 - 2327",11836544,56000000,24600,6174.070000000001,0.2806403333333333,0.17724444444444445,0.35638000000000003,106.977
"2327","3424402","3424402 - 2327",11836544,90000000,14700,2873.43,0.214777,0.16538333333333333,0.3325266666666667,105.44000000000001
"2328","3403208","3403208 - 2328",6145143,90000000,1377300,951592.0,0.7282145728114479,0.44101111111111113,0.8061000000000001,284.644
"2328","3423909","3423909 - 2328",6145143,56000000,2700300,779888.54,0.313381117444095,0.17364444444444443,0.37514000000000003,108.678
